DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
171259,171259,UT,DS,4,0,2,132,97,04:43:14 27-Oct-2017,P,1,15.2510,145.7330,,,,,401677613,-130
171259,171259,UT,DS,1,0,0,,,08:38:30 27-Oct-2017,K,B,15.2550,145.7340,,,,,401677623,-132
171259,171259,UT,DS,1,0,1,,,09:23:51 27-Oct-2017,N,B,15.2520,145.7350,,,,,401677621,-130
171259,171259,UT,DS,1,0,1,,,11:24:27 27-Oct-2017,A,B,15.2490,145.7350,,,,,401677622,-126
171259,171259,UT,DS,1,0,1,,,06:07:38 28-Oct-2017,P,B,15.2370,145.7350,,,,,401677624,-132
171259,171259,UT,DS,1,0,0,,,10:56:11 28-Oct-2017,A,B,15.2470,145.7470,,,,,401677626,-127
171259,171259,UT,DS,2,0,2,45,45,12:35:21 28-Oct-2017,A,B,15.2550,145.7450,,,,,401677623,-129
171259,171259,UT,DS,1,0,1,,,21:55:34 28-Oct-2017,N,B,15.2630,145.7530,,,,,401677622,-133
171259,171259,UT,DS,1,0,1,,,06:55:06 29-Oct-2017,R,B,15.2530,145.7490,,,,,401677623,-137
171259,171259,UT,DS,1,0,0,,,08:32:11 29-Oct-2017,R,B,15.2570,145.7520,,,,,401677626,-130
171259,171259,UT,DS,1,0,0,,,09:00:03 29-Oct-2017,N,B,15.2520,145.7460,,,,,401677623,-131
171259,171259,UT,DS,1,0,0,,,10:41:05 29-Oct-2017,A,B,15.2540,145.7450,,,,,401677623,-127
171259,171259,UT,DS,1,0,0,,,11:29:50 29-Oct-2017,B,B,15.2530,145.7460,,,,,401677624,-133
171259,171259,UT,DS,1,0,0,,,12:23:02 29-Oct-2017,A,B,15.2540,145.7460,,,,,401677624,-125
171259,171259,UT,DS,1,0,0,,,20:08:42 29-Oct-2017,K,B,15.2580,145.7490,,,,,401677624,-133
171259,171259,UT,DS,1,0,0,,,05:44:05 30-Oct-2017,P,B,15.2590,145.7540,,,,,401677622,-128
171259,171259,UT,DS,1,0,0,,,11:58:20 30-Oct-2017,A,B,15.2580,145.7540,,,,,401677622,-121
171259,171259,UT,DS,1,0,0,,,16:42:28 30-Oct-2017,P,B,15.2550,145.7570,,,,,401677626,-137
171259,171259,UT,DS,1,0,1,,,18:27:58 30-Oct-2017,P,B,15.2540,145.7510,,,,,401677623,-130
171259,171259,UT,DS,1,0,1,,,20:46:53 30-Oct-2017,R,B,15.2520,145.7520,,,,,401677621,-130
171259,171259,UT,DS,2,0,0,153,153,21:24:41 30-Oct-2017,N,B,15.2490,145.7450,,,,,401677621,-132
171259,171259,UT,DS,2,0,1,153,153,21:25:58 30-Oct-2017,K,B,15.2540,145.7420,,,,,401677624,-125
171259,171259,UT,DS,2,0,1,225,225,22:48:38 30-Oct-2017,A,B,15.2550,145.7500,,,,,401677622,-129
171259,171259,UT,DS,1,0,1,,,23:44:20 30-Oct-2017,B,B,15.2550,145.7490,,,,,401677622,-130
171259,171259,UT,DS,1,0,0,,,00:29:33 31-Oct-2017,A,B,15.2550,145.7490,,,,,401677622,-127
171259,171259,UT,DS,2,0,1,200,200,05:33:29 31-Oct-2017,P,B,15.2560,145.7480,,,,,401677616,-126
171259,171259,UT,DS,1,0,0,,,07:31:09 31-Oct-2017,R,B,15.2540,145.7470,,,,,401677620,-131
171259,171259,UT,DS,1,0,0,,,08:41:53 31-Oct-2017,N,B,15.2540,145.7450,,,,,401677621,-128
