,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
176772,04-Jun-2019,04:46:00,1,29.000000,36,6,0,5,,,,,,,,,,,,,,15,23,159,,,,3,2124,,,,16,10900,,,,26,10724,,,,8,27746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,04-Jun-2019,05:41:23,1,29.000000,39,7,0,7,,,,,,,,,,,,,,15,7,30327,,,,1,10684,,,,3,11903,,,,30,13829,,,,22,29704,,,,11,19051,,,,18,27995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,04-Jun-2019,05:45:53,2,29.000000,40,7,0,7,,,,,,,,,,,,,,15,1,9753,,,,7,29687,,,,3,27967,,,,22,2742,,,,11,23562,,,,30,19948,,,,18,23318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,04-Jun-2019,05:47:14,4,29.000000,41,7,0,7,,,,,,,,,,,,,,15,7,27431,,,,30,19668,,,,3,30622,,,,1,7421,,,,22,2300,,,,11,22906,,,,28,7437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,04-Jun-2019,05:49:10,4,29.000000,42,8,0,7,,,,,,,,,,,,,,15,7,23393,,,,1,3289,,,,22,780,,,,11,21220,,,,3,824,,,,18,14258,,,,28,14935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,04-Jun-2019,05:54:54,4,29.000000,43,11,0,7,,,,,,,,,,,,,,15,7,20010,,,,3,17360,,,,1,32421,,,,8,19288,,,,22,4164,,,,30,23062,,,,18,6410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,04-Jun-2019,05:56:23,3,29.000000,44,11,0,7,,,,,,,,,,,,,,15,3,24382,,,,7,22014,,,,18,7316,,,,22,7762,,,,8,24007,,,,1,1642,,,,30,27078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,04-Jun-2019,07:28:59,2,29.000000,52,20,0,7,,,,,,,,,,,,,,15,22,1756,,,,3,18532,,,,17,13534,,,,11,24674,,,,1,11565,,,,28,9515,,,,23,7076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,04-Jun-2019,08:17:20,2,29.000000,54,25,0,7,,,,,,,,,,,,,,15,17,16510,,,,23,18330,,,,3,22731,,,,28,27958,,,,11,27575,,,,22,14104,,,,9,22355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,04-Jun-2019,08:24:20,1,29.000000,55,26,0,7,,,,,,,,,,,,,,15,9,24871,,,,28,5339,,,,3,12354,,,,17,23017,,,,23,1287,,,,1,5504,,,,11,31361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,04-Jun-2019,08:40:09,1,29.000000,56,28,0,7,,,,,,,,,,,,,,15,9,29036,,,,4,4834,,,,17,6040,,,,28,16146,,,,23,24786,,,,19,2411,,,,6,4710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,04-Jun-2019,08:55:39,1,29.000000,57,28,0,7,,,,,,,,,,,,,,15,4,10461,,,,17,7934,,,,9,16162,,,,23,30816,,,,28,10857,,,,6,15670,,,,3,11551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,05-Jun-2019,11:23:27,2,30.000000,62,42,0,4,,,,,,,,,,,,,,15,5,5656,,,,30,29390,,,,17,3461,,,,19,29700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,06-Jun-2019,01:14:35,1,30.000000,64,49,0,6,,,,,,,,,,,,,,15,31,19556,,,,27,18795,,,,23,18488,,,,18,11270,,,,14,21577,,,,8,6658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,07-Jun-2019,05:48:00,2,30.000000,68,62,0,7,,,,,,,,,,,,,,15,1,8021,,,,11,8130,,,,18,11507,,,,3,10713,,,,22,18701,,,,8,5391,,,,27,7884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,08-Jun-2019,12:42:41,2,30.000000,72,86,0,7,,,,,,,,,,,,,,15,15,817,,,,13,1782,,,,2,28609,,,,6,16498,,,,5,11834,,,,30,19334,,,,29,32518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,09-Jun-2019,02:12:10,1,30.000000,74,95,0,7,,,,,,,,,,,,,,15,18,25294,,,,8,27012,,,,11,24760,,,,31,6830,,,,23,20172,,,,27,4554,,,,9,9020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,09-Jun-2019,17:02:39,1,30.000000,76,103,0,5,,,,,,,,,,,,,,15,5,23994,,,,21,16352,,,,24,8958,,,,20,14585,,,,12,6430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,09-Jun-2019,23:43:17,1,30.000000,77,104,0,6,,,,,,,,,,,,,,15,31,12812,,,,32,21754,,,,27,5256,,,,14,12812,,,,8,4582,,,,26,12042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,10-Jun-2019,07:27:15,1,30.000000,78,111,0,7,,,,,,,,,,,,,,15,28,18702,,,,3,5077,,,,17,12628,,,,6,19845,,,,11,20905,,,,30,4487,,,,4,2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,10-Jun-2019,13:59:38,2,30.000000,79,111,0,4,,,,,,,,,,,,,,15,13,32459,,,,24,21552,,,,2,10732,,,,15,16410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,12-Jun-2019,19:58:03,1,30.000000,87,132,0,5,,,,,,,,,,,,,,15,10,16591,,,,32,22189,,,,20,2106,,,,29,31190,,,,15,22926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,15-Jun-2019,14:30:46,1,30.000000,97,151,0,6,,,,,,,,,,,,,,15,5,22658,,,,13,8631,,,,15,400,,,,2,23900,,,,24,30462,,,,28,4066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,17-Jun-2019,09:47:22,1,31.000000,104,155,0,5,,,,,,,,,,,,,,15,17,6932,,,,5,30383,,,,19,20342,,,,4,1401,,,,13,31402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,17-Jun-2019,22:54:23,1,31.000000,106,162,0,6,,,,,,,,,,,,,,15,31,16044,,,,14,5847,,,,21,4692,,,,27,15019,,,,32,29372,,,,19,32288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,20-Jun-2019,01:22:04,1,31.000000,114,169,0,7,,,,,,,,,,,,,,15,18,16062,,,,11,17054,,,,8,3031,,,,23,3374,,,,27,22379,,,,31,1394,,,,16,21308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,20-Jun-2019,20:03:31,1,31.000000,117,172,0,5,,,,,,,,,,,,,,15,32,23128,,,,10,18661,,,,26,15221,,,,20,3515,,,,29,25069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,21-Jun-2019,15:00:00,1,31.000000,120,174,0,7,,,,,,,,,,,,,,15,24,8948,,,,12,13641,,,,5,7392,,,,15,9242,,,,21,1819,,,,13,22451,,,,27,32067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,21-Jun-2019,21:11:04,1,31.000000,121,174,0,6,,,,,,,,,,,,,,15,32,26431,,,,31,17840,,,,26,2764,,,,16,6133,,,,21,7631,,,,14,1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,23-Jun-2019,04:47:28,1,31.000000,126,177,0,6,,,,,,,,,,,,,,15,3,24066,,,,22,24636,,,,8,15796,,,,23,24829,,,,28,13298,,,,7,27468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,24-Jun-2019,18:58:30,1,31.000000,132,185,0,7,,,,,,,,,,,,,,15,29,18643,,,,10,7740,,,,12,12294,,,,15,4941,,,,31,8039,,,,32,32370,,,,26,9057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,26-Jun-2019,23:56:40,1,32.000000,140,211,0,7,,,,,,,,,,,,,,15,8,1834,,,,31,20078,,,,27,1817,,,,26,22464,,,,16,11235,,,,23,19672,,,,21,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,27-Jun-2019,19:06:52,2,32.000000,143,214,0,7,,,,,,,,,,,,,,15,10,25752,,,,26,25409,,,,29,9616,,,,32,22444,,,,25,23280,,,,20,32158,,,,31,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,28-Jun-2019,01:22:29,1,32.000000,144,216,0,7,,,,,,,,,,,,,,15,16,15716,,,,18,30537,,,,26,6486,,,,8,9452,,,,11,23352,,,,27,12040,,,,10,16408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176772,28-Jun-2019,13:50:03,1,32.000000,146,217,0,5,,,,,,,,,,,,,,15,15,1067,,,,24,23646,,,,5,18899,,,,13,18648,,,,2,11312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
