Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
15861,178540,11,NK, ,1,11-Jul-2022,09:59:27,,,,401650000,-128,,0,11-Jul-2022,09:59:27,,,,,,,,,,55,244,233,214,32,88,129,2,4,0,0,,,,,,,,,,,,,,,,,,,,,
15861,178540,31,NN, ,2,11-Jul-2022,11:58:29,,,,401650000,-137,,0,11-Jul-2022,11:58:29,,,,,,,,,,120,177,173,214,53,129,64,178,201,105,78,203,116,199,102,20,252,160,107,40,9,59,12,82,80,109,45,211,33,8,4,
15861,178540,11,MC, ,3,11-Jul-2022,12:16:41,,,,401650000,-130,,0,11-Jul-2022,12:16:41,,,15,,,,,,,34,66,89,214,32,221,95,12,188,15,128,,,,,,,,,,,,,,,,,,,,,
15861,178540,15,MC, ,3,11-Jul-2022,12:16:41,,,,401650000,-130,,0,11-Jul-2022,12:16:56,,,15,,,,,,,25,58,177,85,213,1,144,3,130,63,35,73,21,0,0,,,,,,,,,,,,,,,,,
15861,178540,15,SR, ,4,11-Jul-2022,20:17:20,,,,401650000,-138,,0,11-Jul-2022,20:17:20,,,,,,,,,,27,26,169,214,40,111,24,80,18,126,29,225,132,190,9,,,,,,,,,,,,,,,,,
15861,178540,11,A1, ,5,11-Jul-2022,20:34:53,,,,401650000,-135,,0,11-Jul-2022,20:34:53,,,,,,,,,,24,164,137,214,195,4,254,177,128,160,253,,,,,,,,,,,,,,,,,,,,,
15861,178540,31,NP, ,6,11-Jul-2022,23:04:24,,,,401650000,-130,,0,11-Jul-2022,23:04:24,,,,,,,,,,123,205,25,214,100,119,220,82,119,23,226,202,111,58,227,106,195,217,211,15,215,64,204,49,249,223,92,37,223,78,79,
15861,178540,11,NN, ,7,12-Jul-2022,00:34:26,,,,401650000,-133,,0,12-Jul-2022,00:34:26,,,,,,,,,,60,228,89,214,101,158,26,108,155,52,151,,,,,,,,,,,,,,,,,,,,,
15861,178540,31,SR, ,8,12-Jul-2022,08:46:35,,,,401650000,-125,,0,12-Jul-2022,08:46:35,,,15,,,,,,,123,205,25,214,100,119,220,82,119,23,226,202,111,58,227,106,195,217,211,15,215,64,196,49,168,75,17,251,166,70,4,
15861,178540,11,SR, ,8,12-Jul-2022,08:46:35,,,,401650000,-125,,0,12-Jul-2022,08:46:50,,,15,,,,,,,111,179,141,215,72,255,0,2,216,185,41,,,,,,,,,,,,,,,,,,,,,
15861,178540,11,NP, ,9,12-Jul-2022,10:13:54,,,,401650000,-121,,0,12-Jul-2022,10:13:54,,,19,,,,,,,40,86,169,214,96,155,124,56,0,0,0,,,,,,,,,,,,,,,,,,,,,
