"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",178560,5861,47.66133,-122.21667,A,02/10/2019 23:21:06,Argos,0,180,NP,,401650000,02/10/2019 23:19:26,1,3,0,-134,401650000,-122.21667,47.66133,-122.21667,47.66133,8,3,0,0,0,39,4467,4,180,60,116,217,0,32,50,119,228,112,5,0,80,175,1,60,191,253,195,30,255,225,255,255,0,63,,,,,
"",178560,5861,47.661,-122.217,A,02/10/2019 23:21:06,Argos,,180,P,,401677519,02/10/2019 23:19:26,1,3,,-134,401677519,-122.217,47.661,,,,,,,,,,4,180,60,116,217,0,32,50,119,228,112,5,0,80,175,1,60,191,253,195,30,255,225,255,255,0,63,,,,,
"",178560,5861,47.66133,-122.21667,A,02/10/2019 23:21:06,Argos,0,180,NP,,401650000,02/10/2019 23:21:26,1,3,0,-134,401650000,-122.21667,47.66133,-122.21667,47.66133,8,3,0,0,0,39,4467,4,180,15,117,89,0,34,51,103,211,192,5,0,80,116,117,64,0,3,199,128,128,15,0,0,127,192,,,,,
"",178560,5861,47.661,-122.217,A,02/10/2019 23:21:06,Argos,,180,P,,401677519,02/10/2019 23:21:26,1,3,,-134,401677519,-122.217,47.661,,,,,,,,,,4,180,15,117,89,0,34,51,103,211,192,5,0,80,116,117,64,0,3,199,128,128,15,0,0,127,192,,,,,
"",178560,5861,47.66133,-122.21667,A,02/10/2019 23:21:06,Argos,0,180,NP,,401650000,02/10/2019 23:22:26,1,3,0,-134,401650000,-122.21667,47.66133,-122.21667,47.66133,8,3,0,0,0,39,4467,0,4,181,117,153,145,72,245,239,229,80,4,35,227,8,117,187,131,252,143,204,244,127,126,24,7,240,,,,,
"",178560,5861,47.661,-122.217,A,02/10/2019 23:21:06,Argos,,180,P,,401677519,02/10/2019 23:22:26,1,3,,-134,401677519,-122.217,47.661,,,,,,,,,,0,4,181,117,153,145,72,245,239,229,80,4,35,227,8,117,187,131,252,143,204,244,127,126,24,7,240,,,,,
"",178560,5861,47.64531,-122.21493,B,02/10/2019 23:56:26,Argos,0,0,NK,,401650000,02/10/2019 23:56:26,1,1,0,-133,401650000,-122.21493,47.64531,-122.21493,47.64531,8,3,29738,69075,12802,46,4739,6,4,149,126,25,75,96,50,183,229,64,5,0,80,116,117,64,0,2,128,15,0,0,127,192,0,0,,,,,
"",178560,5861,47.645,-122.215,B,02/10/2019 23:56:26,Argos,,0,K,,401677490,02/10/2019 23:56:26,1,1,,-133,401677490,-122.215,47.645,,,,,,,,,,6,4,149,126,25,75,96,50,183,229,64,5,0,80,116,117,64,0,2,128,15,0,0,127,192,0,0,,,,,
"",178560,5861,47.64987,-122.13938,B,02/11/2019 00:41:56,Argos,0,180,SR,,401650000,02/11/2019 00:40:26,1,2,0,-133,401650000,-122.13938,47.64987,-122.13938,47.64987,6,3,10994,42292,2857,5,3015,6,4,150,10,25,248,210,50,215,229,48,5,0,0,119,253,68,4,2,128,15,0,0,127,192,0,0,,,,,
"",178560,5861,47.65,-122.139,B,02/11/2019 00:41:56,Argos,,180,R,,401677509,02/11/2019 00:40:26,1,2,,-133,401677509,-122.139,47.65,,,,,,,,,,6,4,150,10,25,248,210,50,215,229,48,5,0,0,119,253,68,4,2,128,15,0,0,127,192,0,0,,,,,
