DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
178560,178560,Mk10,23:22:26 10-Feb-2019,,,A,47.6613,-122.2167,CRC 37192.32093,23:22:25 26-Feb-2019,Status,0,4,181,117,153,145,72,245,239,229,80,4,35,227,8,117,187,131,252,143,204,244,127,126,24,7,240,,,,,
178560,178560,Mk10,23:22:26 10-Feb-2019,,,A,47.6610,-122.2170,CRC 37192.32093,23:22:25 26-Feb-2019,Status,0,4,181,117,153,145,72,245,239,229,80,4,35,227,8,117,187,131,252,143,204,244,127,126,24,7,240,,,,,
178560,178560,Mk10,00:43:26 11-Feb-2019,,,B,47.6499,-122.1394,CRC 18403.24822,00:43:26 11-Feb-2019,Status,6,155,30,10,217,0,116,50,199,229,48,5,0,0,119,253,68,4,3,71,227,152,153,155,187,129,59,,,,,
178560,178560,Mk10,00:43:26 11-Feb-2019,,,B,47.6500,-122.1390,CRC 18403.24822,00:43:26 11-Feb-2019,Status,6,155,30,10,217,0,116,50,199,229,48,5,0,0,119,253,68,4,3,71,227,152,153,155,187,129,59,,,,,
178560,178560,Mk10,00:50:26 11-Feb-2019,,,3,47.6763,-122.1324,CRC 58037.27360,00:50:25 11-Feb-2019,Status,6,4,150,12,153,226,181,50,199,229,48,5,0,0,119,253,84,4,2,128,15,8,0,127,192,0,0,,,,,
178560,178560,Mk10,00:50:26 11-Feb-2019,,,3,47.6760,-122.1320,CRC 58037.27360,00:50:25 11-Feb-2019,Status,6,4,150,12,153,226,181,50,199,229,48,5,0,0,119,253,84,4,2,128,15,8,0,127,192,0,0,,,,,
178560,178560,Mk10,01:36:26 11-Feb-2019,,,2,47.6765,-122.1373,CRC 26595.42930,01:36:25 11-Feb-2019,Status,6,4,150,25,25,103,227,50,215,229,32,5,0,0,119,253,64,4,2,128,15,0,0,127,193,0,0,,,,,
178560,178560,Mk10,01:37:26 11-Feb-2019,,,2,47.6765,-122.1373,CRC 17292.33613,01:37:26 11-Feb-2019,Status,6,163,28,25,89,0,170,50,215,229,32,5,0,0,119,253,64,4,3,67,140,128,15,0,0,127,193,,,,,
178560,178560,Mk10,01:36:26 11-Feb-2019,,,2,47.6770,-122.1370,CRC 26595.42930,01:36:25 11-Feb-2019,Status,6,4,150,25,25,103,227,50,215,229,32,5,0,0,119,253,64,4,2,128,15,0,0,127,193,0,0,,,,,
178560,178560,Mk10,01:37:26 11-Feb-2019,,,2,47.6770,-122.1370,CRC 17292.33613,01:37:26 11-Feb-2019,Status,6,163,28,25,89,0,170,50,215,229,32,5,0,0,119,253,64,4,3,67,140,128,15,0,0,127,193,,,,,
178560,178560,Mk10,02:27:26 11-Feb-2019,,,3,47.6783,-122.1378,ZDO 48,02:27:26 11-Feb-2019,Status,6,155,28,38,217,0,220,51,23,224,195,7,14,12,112,248,62,130,1,215,152,80,47,0,64,241,227,,,,,
178560,178560,Mk10,02:27:26 11-Feb-2019,,,3,47.6780,-122.1380,ZDO 48,02:27:26 11-Feb-2019,Status,6,155,28,38,217,0,220,51,23,224,195,7,14,12,112,248,62,130,1,215,152,80,47,0,64,241,227,,,,,
178560,178560,Mk10,03:22:26 11-Feb-2019,,,3,47.6760,-122.1339,CRC 35565.18670,03:22:25 11-Feb-2019,Status,6,4,150,53,153,138,237,50,231,229,80,5,0,2,119,253,64,4,2,128,15,0,0,127,192,0,0,,,,,
178560,178560,Mk10,03:22:26 11-Feb-2019,,,3,47.6760,-122.1340,CRC 35565.18670,03:22:25 11-Feb-2019,Status,6,4,150,53,153,138,237,50,231,229,80,5,0,2,119,253,64,4,2,128,15,0,0,127,192,0,0,,,,,
178560,178560,Mk10,03:54:26 11-Feb-2019,,,3,47.6770,-122.1331,CRC 51028.42844,03:54:25 11-Feb-2019,Status,6,4,150,61,153,199,84,50,71,230,112,5,0,0,119,253,68,4,2,0,15,0,0,127,192,0,0,,,,,
178560,178560,Mk10,03:55:26 11-Feb-2019,,,3,47.6770,-122.1331,CRC 56574.60431,03:55:26 11-Feb-2019,Status,6,163,30,61,217,1,52,50,83,230,96,5,0,0,119,253,64,4,3,220,254,128,15,0,0,127,192,,,,,
178560,178560,Mk10,04:05:26 11-Feb-2019,,,3,47.6770,-122.1331,CRC 61574.14479,04:05:26 11-Feb-2019,Status,6,163,30,65,89,1,62,50,87,230,128,5,0,8,119,253,64,4,3,240,134,128,15,0,0,127,192,,,,,
178560,178560,Mk10,03:54:26 11-Feb-2019,,,3,47.6770,-122.1330,CRC 51028.42844,03:54:25 11-Feb-2019,Status,6,4,150,61,153,199,84,50,71,230,112,5,0,0,119,253,68,4,2,0,15,0,0,127,192,0,0,,,,,
