Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
131996,12-May-2016,07:40:13,1,96.000000,35,5,0,8,13.43506,144.63091,14:12:02.734102 12-May-2016,FastGPS,13.43480,144.63115,54,1,,9.1,0.8,,,,15,16,5286,,,,26,26520,,,,1,28527,,,,7,13168,,,,8,16084,,,,11,14220,,,,22,19328,,,,4,16628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,12-May-2016,14:10:26,2,96.000000,36,6,0,6,13.43451,144.63054,08:54:09.822227 13-May-2016,FastGPS,13.43506,144.63091,54,,,4.8,0.7,,,,15,17,30597,,,,28,30876,,,,19,31756,,,,7,30442,,,,9,13558,,,,30,26578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,13-May-2016,08:52:33,1,97.000000,39,8,0,6,13.43401,144.63142,03:28:59.946094 14-May-2016,FastGPS,13.43451,144.63054,54,,,7.9,-0.2,,,,15,22,28884,,,,3,23869,,,,7,8611,,,,16,14781,,,,1,5652,,,,26,8728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,13-May-2016,21:12:53,1,97.000000,41,9,0,5,13.43401,144.63142,03:28:59.946094 14-May-2016,FastGPS,13.43444,144.63179,54,,,8.5,-0.1,,,,15,12,20273,,,,5,1171,,,,25,25120,,,,24,7620,,,,20,12722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,14-May-2016,03:27:22,2,97.000000,42,10,0,7,13.43402,144.63200,22:09:05.057188 14-May-2016,FastGPS,13.43401,144.63142,54,1,,3.9,0.9,,,,15,32,13340,,,,27,4474,,,,14,353,,,,26,25711,,,,16,19252,,,,21,5421,,,,4,32188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,14-May-2016,15:55:51,2,97.000000,44,10,0,7,13.43499,144.63089,10:40:46.617500 15-May-2016,FastGPS,13.43511,144.63080,54,,,4.9,-0.0,,,,15,13,11991,,,,19,8648,,,,17,8754,,,,2,27779,,,,5,568,,,,30,2282,,,,6,11070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,14-May-2016,22:07:28,1,97.000000,45,10,0,8,13.43499,144.63089,10:40:46.617500 15-May-2016,FastGPS,13.43402,144.63200,54,,,5.7,0.1,,,,15,25,29815,,,,18,12774,,,,12,18309,,,,21,17120,,,,20,1018,,,,5,10066,,,,15,28395,,,,24,16152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,15-May-2016,10:39:10,1,97.000000,47,,0,9,13.43484,144.63081,17:38:59.282500 16-May-2016,FastGPS,13.43499,144.63089,54,,,9.1,-0.4,,,,15,1,15150,,,,11,6004,,,,28,9303,,,,22,19754,,,,8,31912,,,,3,15957,,,,30,18988,,,,7,16514,,,,6,31812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,16-May-2016,17:37:22,1,97.000000,52,12,0,5,13.43512,144.63112,18:37:10.841875 17-May-2016,FastGPS,13.43484,144.63081,54,,,6.5,0.3,,,,15,2,15907,,,,6,30003,,,,13,1858,,,,15,28581,,,,19,6558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,17-May-2016,18:35:34,2,97.000000,56,13,0,5,13.43472,144.63072,07:02:50.905000 18-May-2016,FastGPS,13.43512,144.63112,54,,,5.3,-0.2,,,,15,13,10541,,,,2,234,,,,15,2616,,,,5,21775,,,,29,13881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,18-May-2016,07:01:14,2,97.000000,58,14,0,8,13.43445,144.63203,07:43:49.068125 19-May-2016,FastGPS,13.43472,144.63072,54,1,,5.2,-0.1,,,,15,11,19094,,,,1,14865,,,,26,15894,,,,4,13576,,,,16,3997,,,,22,6896,,,,10,19530,,,,31,24422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,19-May-2016,07:42:12,1,97.000000,62,15,0,4,13.43489,144.63092,08:47:41.167969 20-May-2016,FastGPS,13.43445,144.63203,54,,,1.9,0.1,,,,15,16,14736,,,,26,17755,,,,22,31538,,,,8,19460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,20-May-2016,08:46:04,1,97.000000,66,18,0,5,13.43568,144.63121,09:31:02.448125 21-May-2016,FastGPS,13.43489,144.63092,54,,,5.8,0.2,,,,15,16,6342,,,,22,16937,,,,3,18700,,,,7,25753,,,,1,9400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
