DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
131996,131996,Mk10,15:24:48 06-Aug-2013,,,A,37.9270,-171.6860,CRC 96.1683,05:26:00 28-Mar-2011,LightLoc,128,6,12,246,110,230,88,,,,,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,15:26:48 06-Aug-2013,,,A,37.9270,-171.6860,CRC 3800.3673,15:26:46 06-Aug-2013,Status,0,6,12,246,174,14,216,,,,,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,16:34:48 06-Aug-2013,,,A,47.6770,-122.3390,CRC 58998.41522,16:34:46 06-Aug-2012,Status,6,2,13,8,174,230,118,,,,,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,17:27:48 06-Aug-2013,,,3,47.6770,-122.1360,CRC 6769.55936,17:27:46 04-Aug-2013,Status,2,6,9,22,238,26,113,,,,,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,18:34:48 06-Aug-2013,,,3,47.6770,-122.1370,CRC 9853.58989,18:34:46 06-Aug-2013,Status,3,6,13,40,174,38,125,,,,,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,12:40:06 12-May-2016,,,,,,CRC 8366.5166,01:00:00 12-May-2016,TAT,34,10,225,88,16,142,112,28,134,7,5,81,128,0,0,,,,,,,,,,,,,,,,,
131996,131996,Mk10,19:31:05 12-May-2016,,,,,,CRC 45998.28847,12:00:00 12-May-2016,DiveDuration,75,58,225,88,192,123,149,16,16,72,0,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,05:23:18 13-May-2016,,,,,,CRC 13584.31064,01:32:00 12-May-2016,Fast-GPS,115,81,1,88,22,0,35,77,84,157,32,215,52,235,129,245,155,188,213,84,175,237,232,19,136,188,145,255,255,255,255,
131996,131996,Mk10,00:38:35 15-May-2016,,,,,,CRC 33660.37754,,TAD,24,55,207,183,27,3,145,124,28,17,179,200,4,132,96,68,176,26,238,,,,,,,,,,,,,
131996,131996,Mk10,07:29:11 15-May-2016,,,,,,CRC 49936.47835,18:00:00 13-May-2016,TAD,28,49,1,91,44,24,220,1,156,46,52,243,166,25,93,189,143,2,99,,,,,,,,,,,,,
131996,131996,Mk10,07:54:08 15-May-2016,,,,,,CRC 18703.17678,12:00:00 05-May-2016,TAD,20,144,241,74,197,0,134,129,2,253,0,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,07:50:06 16-May-2016,,,,,,CRC 28949.4371,06:00:00 14-May-2016,DiveDuration,71,17,81,92,96,126,132,6,8,8,0,0,64,8,128,,,,,,,,,,,,,,,,,
131996,131996,Mk10,08:45:48 16-May-2016,,,,,,CRC 35503.35438,00:00:00 14-May-2016,DiveDepth,56,170,241,92,0,75,130,16,12,0,16,32,128,2,129,,,,,,,,,,,,,,,,,
131996,131996,Mk10,06:26:45 17-May-2016,,,,,,CRC 13584.15772,01:32:00 12-May-2016,Fast-GPS,115,81,1,88,22,0,35,77,84,157,32,215,52,234,193,85,155,188,197,84,47,205,232,19,136,188,145,128,129,71,128,
131996,131996,Mk10,20:22:41 17-May-2016,,,,,,CRC 43574.28023,03:27:22 14-May-2016,Fast-GPS,122,163,97,92,53,181,156,13,7,54,69,233,192,88,117,145,190,18,205,42,84,180,159,111,24,168,40,120,0,0,11,
131996,131996,Mk10,01:14:54 18-May-2016,,,,,,CRC 569.42040,06:00:00 08-May-2016,DiveDepth,48,35,145,80,96,73,139,8,0,0,16,,,,,,,,,,,,,,,,,,,,,
