Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
4257,138959,7,N, ,2,22-May-2014,00:36:12,,,,,,,0,22-May-2014,00:36:12,,,,,,,,,,0,1,108,9,11,134,248,,,,,,,,,,,,,,,,,,,,,,,,,
4257,138959,7,R,B,3,22-May-2014,00:58:11,47.6700,-122.1250,,401677576,-132,,0,22-May-2014,00:58:12,,,,,,,,,,2,1,108,14,139,218,219,,,,,,,,,,,,,,,,,,,,,,,,,
4257,138959,7,K,3,4,22-May-2014,01:44:41,47.6770,-122.1370,,401677574,-126,,0,22-May-2014,01:38:12,,,420,,,,,,,2,1,108,25,139,110,222,,,,,,,,,,,,,,,,,,,,,,,,,
4257,138959,7,K,3,4,22-May-2014,01:44:41,47.6770,-122.1370,,401677574,-126,,0,22-May-2014,01:39:12,,,420,,,,,,,2,189,26,25,203,0,93,,,,,,,,,,,,,,,,,,,,,,,,,
4257,138959,7,K,3,4,22-May-2014,01:44:41,47.6770,-122.1370,,401677574,-126,,0,22-May-2014,01:40:12,,,420,,,,,,,2,1,108,26,75,194,223,,,,,,,,,,,,,,,,,,,,,,,,,
4257,138959,7,K,3,4,22-May-2014,01:44:41,47.6770,-122.1370,,401677574,-126,,0,22-May-2014,01:41:12,,,420,,,,,,,2,1,108,26,75,22,222,,,,,,,,,,,,,,,,,,,,,,,,,
4257,138959,7,K,3,4,22-May-2014,01:44:41,47.6770,-122.1370,,401677574,-126,,0,22-May-2014,01:42:12,,,420,,,,,,,2,1,108,26,139,42,222,,,,,,,,,,,,,,,,,,,,,,,,,
4257,138959,7,K,3,4,22-May-2014,01:44:41,47.6770,-122.1370,,401677574,-126,,0,22-May-2014,01:43:12,,,420,,,,,,,2,189,28,26,203,0,97,,,,,,,,,,,,,,,,,,,,,,,,,
4257,138959,7,K,3,4,22-May-2014,01:44:41,47.6770,-122.1370,,401677574,-126,,0,22-May-2014,01:44:12,,,420,,,,,,,2,1,108,27,11,62,222,,,,,,,,,,,,,,,,,,,,,,,,,
4257,138959,7,K,3,4,22-May-2014,01:44:41,47.6770,-122.1370,,401677574,-126,,0,22-May-2014,01:45:12,,,420,,,,,,,2,1,108,27,75,234,223,,,,,,,,,,,,,,,,,,,,,,,,,
