DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
149121,149121,Mk10,DS,1,0,1,,,17:44:57 03-May-2015,B,,,,,,,,,
149121,149121,Mk10,DS,1,0,1,,,18:25:29 03-May-2015,A,B,47.6770,-122.1320,,,,,401677503,-131
149121,149121,Mk10,DS,4,0,0,80,60,19:18:14 03-May-2015,B,2,47.6770,-122.1320,,,,,401677503,-126
149121,149121,Mk10,DS,4,0,0,100,60,19:34:59 03-May-2015,P,1,47.6790,-122.1360,,,,,401677502,-129
149121,149121,Mk10,DS,7,0,0,60,60,20:05:29 03-May-2015,A,2,47.6790,-122.1340,,,,,401677503,-121
149121,149121,Mk10,DS,11,0,0,60,60,21:16:29 03-May-2015,P,3,47.6770,-122.1370,,,,,401677500,-116
149121,149121,Mk10,DS,4,0,0,100,60,22:24:49 03-May-2015,N,2,47.6790,-122.1360,,,,,401677496,-127
149121,149121,Mk10,DS,4,0,0,120,60,22:51:29 03-May-2015,K,2,47.6760,-122.1370,,,,,401677495,-129
149121,149121,Mk10,DS,5,0,0,90,60,22:57:49 03-May-2015,P,3,47.6770,-122.1370,,,,,401677495,-126
149121,149121,Mk10,DS,7,0,0,60,60,00:05:29 04-May-2015,N,3,47.6770,-122.1350,,,,,401677492,-114
149121,149121,Mk10,DS,1,0,0,,,04:30:55 14-May-2015,K,,,,,,,,,
149121,149121,Mk10,DS,5,2,0,,,07:20:12 14-May-2015,A,0,24.1890,-144.8660,,,,,401677496,-129
149121,149121,Mk10,DS,2,0,1,180,180,08:12:42 14-May-2015,B,B,21.3670,-157.9670,,,,,401677504,-130
149121,149121,Mk10,DS,7,1,1,,,12:54:42 14-May-2015,P,0,21.3710,-157.9850,,,,,401677512,-130
149121,149121,Mk10,DS,1,0,0,,,15:14:12 14-May-2015,R,B,21.3680,-157.9850,,,,,401677505,-139
149121,149121,Mk10,DS,2,0,0,90,90,15:22:27 14-May-2015,K,B,21.3580,-157.9690,,,,,401677507,-133
149121,149121,Mk10,DS,5,0,0,112,90,15:40:18 14-May-2015,N,3,21.3650,-157.9640,,,,,401677511,-130
149121,149121,Mk10,DS,1,0,0,,,05:53:14 20-May-2015,P,,,,,,,,,
149121,149121,Mk10,DS,2,0,0,90,90,06:59:13 20-May-2015,N,B,13.2790,143.7740,,,,,401677407,-124
149121,149121,Mk10,DS,5,0,2,105,54,07:07:46 20-May-2015,K,0,13.4480,144.5960,,,,,401677406,-125
149121,149121,Mk10,DS,1,0,0,,,07:37:32 20-May-2015,R,B,13.4380,144.5840,,,,,401677440,-128
