DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
166345,166345,Mk10,04:13:55 26-Oct-2016,Argos,B,14.9420,145.5540,,,,,,,,,,
166345,166345,Mk10,05:46:51 26-Oct-2016,Argos,B,14.9410,145.5540,,,,,,,,,,
166345,166345,Mk10,07:35:12 26-Oct-2016,Argos,B,14.9460,145.5640,,,,,,,,,,
166345,166345,Mk10,08:11:43 26-Oct-2016,Argos,B,14.9360,145.5670,,,,,,,,,,
166345,166345,Mk10,08:11:43 26-Oct-2016,Argos,B,14.9490,145.5740,,,,,,,,,,
166345,166345,Mk10,09:51:23 26-Oct-2016,Argos,B,14.9350,145.5890,,,,,,,,,,
166345,166345,Mk10,20:10:14 26-Oct-2016,Argos,B,14.9040,145.6570,,,,,,,,,,
166345,166345,Mk10,00:17:10 27-Oct-2016,Argos,B,14.9290,145.6250,,,,,,,,,,
166345,166345,Mk10,01:09:59 27-Oct-2016,Argos,B,14.9130,145.6350,,,,,,,,,,
166345,166345,Mk10,05:37:54 27-Oct-2016,Argos,B,14.9030,145.6270,,,,,,,,,,
166345,166345,Mk10,10:50:03.915625 27-Oct-2016,FastGPS,5,14.9270,145.6312,,,,,,,,,,Solution error 2.9 sec
166345,166345,Mk10,20:22:13 27-Oct-2016,Argos,B,14.9200,145.6270,,,,,,,,,,
166345,166345,Mk10,00:42:24 28-Oct-2016,Argos,B,14.9250,145.6560,,,,,,,,,,
166345,166345,Mk10,05:29:23 28-Oct-2016,Argos,B,14.9250,145.6350,,,,,,,,,,
166345,166345,Mk10,08:24:33 28-Oct-2016,Argos,B,14.9090,145.6460,,,,,,,,,,
166345,166345,Mk10,08:48:18 28-Oct-2016,Argos,B,14.9230,145.6530,,,,,,,,,,
166345,166345,Mk10,20:25:10 28-Oct-2016,Argos,B,14.9230,145.6530,,,,,,,,,,
166345,166345,Mk10,22:03:57 28-Oct-2016,Argos,B,14.9370,145.6520,,,,,,,,,,
166345,166345,Mk10,23:36:17 28-Oct-2016,Argos,B,14.9350,145.6410,,,,,,,,,,
166345,166345,Mk10,04:21:19.890625 29-Oct-2016,FastGPS,6,14.9267,145.6314,,,,,,,,,,
166345,166345,Mk10,08:20:57 29-Oct-2016,Argos,B,14.9310,145.6110,,,,,,,,,,
166345,166345,Mk10,09:14:10 29-Oct-2016,Argos,B,14.9240,145.6190,,,,,,,,,,
166345,166345,Mk10,11:26:40 29-Oct-2016,Argos,B,14.9230,145.6170,,,,,,,,,,
166345,166345,Mk10,20:54:56 29-Oct-2016,Argos,B,14.9220,145.6220,,,,,,,,,,
166345,166345,Mk10,21:51:52 29-Oct-2016,Argos,B,14.9210,145.6200,,,,,,,,,,
166345,166345,Mk10,09:14:31 30-Oct-2016,Argos,B,14.9290,145.6190,,,,,,,,,,
166345,166345,Mk10,17:47:18 30-Oct-2016,Argos,B,14.9260,145.6210,,,,,,,,,,
166345,166345,Mk10,21:39:10 30-Oct-2016,Argos,B,14.9320,145.6260,,,,,,,,,,
166345,166345,Mk10,06:32:39 31-Oct-2016,Argos,B,14.9350,145.6290,,,,,,,,,,
166345,166345,Mk10,17:31:39 31-Oct-2016,Argos,B,14.9280,145.6210,,,,,,,,,,
166345,166345,Mk10,19:58:12 31-Oct-2016,Argos,B,14.9260,145.6250,,,,,,,,,,
166345,166345,Mk10,00:13:13 01-Nov-2016,Argos,B,14.9360,145.6430,,,,,,,,,,
166345,166345,Mk10,05:16:02.912773 01-Nov-2016,FastGPS,7,14.9277,145.6307,,,,,,,,,,
166345,166345,Mk10,21:09:24 01-Nov-2016,Argos,B,14.9310,145.6500,,,,,,,,,,
166345,166345,Mk10,00:44:28 02-Nov-2016,Argos,B,14.9260,145.6340,,,,,,,,,,
166345,166345,Mk10,08:01:40 02-Nov-2016,Argos,B,14.9240,145.6400,,,,,,,,,,
166345,166345,Mk10,11:44:05 02-Nov-2016,Argos,B,14.9230,145.6390,,,,,,,,,,
166345,166345,Mk10,20:37:29 02-Nov-2016,Argos,B,14.9210,145.6350,,,,,,,,,,
166345,166345,Mk10,20:37:29 02-Nov-2016,Argos,B,14.9210,145.6380,,,,,,,,,,
166345,166345,Mk10,21:13:48 02-Nov-2016,Argos,B,14.9230,145.6380,,,,,,,,,,
166345,166345,Mk10,04:15:40 03-Nov-2016,Argos,B,14.9370,145.6460,,,,,,,,,,
166345,166345,Mk10,07:18:50 03-Nov-2016,Argos,B,14.9520,145.6420,,,,,,,,,,
166345,166345,Mk10,07:40:50 03-Nov-2016,Argos,B,14.9510,145.6270,,,,,,,,,,
166345,166345,Mk10,11:26:35 03-Nov-2016,Argos,B,14.9490,145.6230,,,,,,,,,,
166345,166345,Mk10,12:18:54 03-Nov-2016,Argos,B,14.9490,145.6250,,,,,,,,,,
166345,166345,Mk10,18:34:31 03-Nov-2016,Argos,B,14.9530,145.6240,,,,,,,,,,
166345,166345,Mk10,20:03:30 03-Nov-2016,Argos,B,14.9510,145.6270,,,,,,,,,,
