DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
176780,176780,Mk10,22:40:59 06-Aug-2018,Argos,3,47.6771,-122.1248,185,420,81,83,,,,,,
176780,176780,Mk10,00:09:24 07-Aug-2018,Argos,0,47.6464,-122.1203,3666,5930,2266,133,,,,,,
176780,176780,Mk10,00:23:44 07-Aug-2018,Argos,3,47.6774,-122.1331,125,258,60,81,,,,,,
176780,176780,Mk10,00:23:44 07-Aug-2018,Argos,3,47.6774,-122.1331,125,258,60,81,,,,,,
176780,176780,Mk10,01:15:24 07-Aug-2018,Argos,3,47.6804,-122.1357,236,705,78,100,,,,,,
176780,176780,Mk10,01:47:14 07-Aug-2018,Argos,3,47.6770,-122.1333,128,221,73,96,,,,,,
176780,176780,Mk10,01:48:24 07-Aug-2018,Argos,3,47.6777,-122.1330,133,345,51,78,,,,,,
176780,176780,Mk10,02:05:44 07-Aug-2018,Argos,B,47.6775,-122.1338,718,934,551,57,,,,,,
176780,176780,Mk10,19:57:53 09-Jul-2019,Argos,1,13.6059,144.9034,1361,17550,105,85,,,,,,
176780,176780,Mk10,19:57:53 09-Jul-2019,Argos,1,16.8969,130.7407,987,6383,152,129,,,,,,
176780,176780,Mk10,23:50:36 09-Jul-2019,Argos,0,13.5886,144.8913,6837,12495,3740,128,,,,,,
176780,176780,Mk10,23:50:44 09-Jul-2019,Argos,0,13.5833,144.9128,1541,8943,265,82,,,,,,
176780,176780,Mk10,09:08:03 10-Jul-2019,Argos,B,13.5853,144.9072,3283,5014,2148,75,,,,,,
176780,176780,Mk10,09:17:17 10-Jul-2019,Argos,B,13.5907,144.9088,2660,3284,2153,35,,,,,,
176780,176780,Mk10,10:02:37 10-Jul-2019,Argos,B,13.6001,144.9111,2194,3616,1330,89,,,,,,
176780,176780,Mk10,10:48:19 10-Jul-2019,Argos,B,13.6026,144.9127,2154,3763,1233,102,,,,,,
176780,176780,Mk10,11:27:48 10-Jul-2019,Argos,B,13.6034,144.9142,1846,2360,1443,75,,,,,,
176780,176780,Mk10,19:23:27 10-Jul-2019,Argos,A,13.6003,144.9015,9193,51139,1652,77,,,,,,
176780,176780,Mk10,19:41:44 10-Jul-2019,Argos,0,13.6058,144.9215,1516,2734,840,123,,,,,,
176780,176780,Mk10,21:39:26 10-Jul-2019,Argos,1,13.6130,144.9208,606,1440,254,63,,,,,,
176780,176780,Mk10,22:43:28 10-Jul-2019,Argos,B,13.6157,144.9214,3651,4273,3118,90,,,,,,
176780,176780,Mk10,08:47:12 11-Jul-2019,Argos,0,13.6080,144.9276,2356,24313,228,90,,,,,,
176780,176780,Mk10,10:25:43 11-Jul-2019,Argos,B,13.6229,144.9279,2214,4663,1050,84,,,,,,
176780,176780,Mk10,10:43:23 11-Jul-2019,Argos,B,13.6132,144.9268,2174,5636,838,85,,,,,,
176780,176780,Mk10,11:09:04 11-Jul-2019,Argos,B,13.6136,144.9232,2028,3909,1051,84,,,,,,
176780,176780,Mk10,11:31:55 11-Jul-2019,Argos,1,13.6041,144.9139,507,3775,68,62,,,,,,
176780,176780,Mk10,18:53:33 11-Jul-2019,Argos,3,13.6035,144.9150,233,463,116,177,,,,,,
176780,176780,Mk10,19:40:04 11-Jul-2019,Argos,B,13.6042,144.9146,1363,1388,1338,89,,,,,,
176780,176780,Mk10,20:29:57 11-Jul-2019,Argos,0,13.6038,144.9184,2331,8634,629,49,,,,,,
176780,176780,Mk10,23:33:29 11-Jul-2019,Argos,1,13.6073,144.9095,836,10240,68,79,,,,,,
176780,176780,Mk10,00:47:29 12-Jul-2019,Argos,0,13.5879,144.9050,2173,12312,383,92,,,,,,
176780,176780,Mk10,08:57:39 12-Jul-2019,Argos,B,13.5577,144.9118,2232,49456,100,2,,,,,,
176780,176780,Mk10,10:09:36 12-Jul-2019,Argos,B,13.5900,144.9122,1683,2895,978,2,,,,,,
176780,176780,Mk10,10:39:47 12-Jul-2019,Argos,B,13.5955,144.9129,1741,2497,1213,178,,,,,,
176780,176780,Mk10,11:14:49 12-Jul-2019,Argos,B,13.5996,144.9125,1175,13023,106,67,,,,,,
176780,176780,Mk10,11:49:51 12-Jul-2019,Argos,B,13.6030,144.9120,1411,3448,577,67,,,,,,
176780,176780,Mk10,18:26:13 12-Jul-2019,Argos,B,13.6573,144.9438,2609,3548,1918,106,,,,,,Lat > 4 deviations from mean
176780,176780,Mk10,19:25:02 12-Jul-2019,Argos,B,13.5934,144.9446,5500,40764,742,98,,,,,,
176780,176780,Mk10,22:46:16 12-Jul-2019,Argos,0,13.5954,144.9048,5321,20101,1408,81,,,,,,
176780,176780,Mk10,23:17:01 12-Jul-2019,Argos,A,13.5797,144.8856,3362,8828,1280,89,,,,,,
176780,176780,Mk10,23:44:36 12-Jul-2019,Argos,B,13.5829,144.8839,5365,12429,2316,88,,,,,,
176780,176780,Mk10,07:56:56 13-Jul-2019,Argos,0,13.5950,144.9446,1716,10569,278,117,,,,,,
176780,176780,Mk10,09:33:14 13-Jul-2019,Argos,A,13.6068,144.9176,870,8834,85,107,,,,,,
176780,176780,Mk10,10:21:24 13-Jul-2019,Argos,B,13.6022,144.9124,1103,1606,757,110,,,,,,
176780,176780,Mk10,10:47:40 13-Jul-2019,Argos,B,13.6041,144.9151,1348,1708,1063,102,,,,,,
176780,176780,Mk10,11:30:27 13-Jul-2019,Argos,B,13.6034,144.9132,1422,2217,911,76,,,,,,
176780,176780,Mk10,12:00:33 13-Jul-2019,Argos,B,13.6016,144.9069,1563,2423,1008,83,,,,,,
176780,176780,Mk10,12:31:22 13-Jul-2019,Argos,B,13.5997,144.9127,1482,1961,1119,70,,,,,,
176780,176780,Mk10,19:15:41 13-Jul-2019,Argos,B,13.5802,144.9027,2827,3439,2322,122,,,,,,
176780,176780,Mk10,20:20:14 13-Jul-2019,Argos,0,13.6220,144.9133,7275,24188,2187,80,,,,,,
176780,176780,Mk10,23:03:26 13-Jul-2019,Argos,0,13.6128,144.8852,1907,15876,229,117,,,,,,
176780,176780,Mk10,00:08:16 14-Jul-2019,Argos,B,13.6114,144.8855,2603,5912,1146,116,,,,,,
176780,176780,Mk10,06:30:17 14-Jul-2019,Argos,B,13.6182,144.8782,3635,4312,3064,119,,,,,,
176780,176780,Mk10,07:53:38 14-Jul-2019,Argos,A,13.5924,144.9020,4676,11447,1910,63,,,,,,
176780,176780,Mk10,09:07:18 14-Jul-2019,Argos,B,13.5987,144.9087,3024,35166,260,77,,,,,,
176780,176780,Mk10,10:15:32 14-Jul-2019,Argos,B,13.5984,144.9042,1699,20277,142,59,,,,,,
176780,176780,Mk10,11:11:29 14-Jul-2019,Argos,B,13.6104,144.9191,1162,4850,278,87,,,,,,
176780,176780,Mk10,11:38:37 14-Jul-2019,Argos,B,13.6081,144.9192,1166,4206,323,95,,,,,,
176780,176780,Mk10,12:07:37 14-Jul-2019,Argos,B,13.6062,144.9175,1340,2649,677,89,,,,,,
176780,176780,Mk10,12:48:37 14-Jul-2019,Argos,B,13.6091,144.9228,1603,2562,1002,89,,,,,,
176780,176780,Mk10,19:04:48 14-Jul-2019,Argos,B,13.6089,144.9207,2905,3399,2481,60,,,,,,
176780,176780,Mk10,19:04:48 14-Jul-2019,Argos,B,13.6061,144.9195,2948,3578,2428,106,,,,,,
176780,176780,Mk10,21:42:45 14-Jul-2019,Argos,0,13.6043,144.9497,4190,58262,301,88,,,,,,
176780,176780,Mk10,22:59:21 14-Jul-2019,Argos,2,13.6026,144.9215,347,1220,98,141,,,,,,
