DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature
178539,178539,,Mk10,,,00:52:51 12-Jul-2022,,2,13.4620,144.6296,CRC,0,0,,398,3.568,1.008,0.192,31.50,0.5,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,40,2,0,,,,
178539,178539,,Mk10,,00:52:46 12-Jul-2022,00:53:06 12-Jul-2022,20,2,13.4620,144.6296,CRC,0,0,,,,1.000,0.128,,0.5,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,40,2,0,,,,
178539,178539,,Mk10,,,10:17:24 18-Jul-2022,,B,13.4398,144.6060,CRC,0,0,,1196,3.568,1.008,0.204,30.10,1.0,10.0,-3,,,,,,,,,,,116,20,225,50,16,,,,,,,158,85,0,,,,
178539,178539,,Mk10,,10:14:54 20-Jul-2022,10:15:14 20-Jul-2022,20,B,13.4744,144.6309,CRC,0,0,,,,1.000,0.152,,1.0,18.0,-2,,,,,,,,,,,84,20,251,64,16,,,,,,,180,95,0,,,,
178539,178539,,Mk10,,,22:02:23 24-Jul-2022,,B,13.4649,144.6363,,0,0,,1964,3.568,1.008,0.192,29.90,0.5,8.0,-2,,,,,,,,,,,227,19,213,50,18,,,,,,,,,0,,,,
178539,178539,,Mk10,,,00:38:17 29-Jul-2022,,B,13.4636,144.6451,CRC,0,0,,2476,3.568,1.008,0.160,29.50,1.0,10.0,-2,,,,,,,,,,,164,19,234,65,16,,,,,,,312,175,0,,,,
178539,178539,,Mk10,,11:23:15 02-Aug-2022,11:23:34 02-Aug-2022,19,A,13.4713,144.6413,CRC,0,0,,,,1.008,0.156,,1.5,8.0,-1,,,,,,,,,,,154,19,230,61,16,,,,,,,369,203,0,,,,
178539,178539,,Mk10,,21:48:29 03-Aug-2022,21:48:48 03-Aug-2022,19,B,13.4691,144.6432,CRC,0,0,,,,1.008,0.208,,1.0,6.0,-2,,,,,,,,,,,91,19,219,64,16,,,,,,,389,213,0,,,,
178539,178539,,Mk10,,,08:24:01 10-Aug-2022,,A,13.4663,144.6270,CRC,0,0,,4140,3.568,1.008,0.224,29.90,1.0,8.0,-3,,,,,,,,,,,111,18,213,50,16,,,,,,,491,276,0,,,,
178539,178539,,Mk10,,,09:08:11 12-Aug-2022,,B,13.4595,144.6502,CRC,0,0,,4396,3.568,1.000,0.200,30.10,1.0,18.0,-2,,,,,,,,,,,92,18,252,50,16,,,,,,,514,285,0,,,,
178539,178539,,Mk10,,,20:36:20 15-Aug-2022,,B,13.4658,144.6337,CRC,0,0,,4844,3.568,1.008,0.176,29.60,1.0,16.0,-3,,,,,,,,,,,67,18,255,64,16,,,,,,,582,334,0,,,,
178539,178539,,Mk10,,08:20:40 17-Aug-2022,08:20:59 17-Aug-2022,19,B,13.4753,144.6005,CRC,0,0,,,,1.008,0.200,,1.5,18.0,-3,,,,,,,,,,,110,18,225,71,16,,,,,,,608,351,0,,,,
178539,178539,,Mk10,,09:11:17 20-Aug-2022,09:11:36 20-Aug-2022,19,B,13.4556,144.6032,CRC,0,0,,,,1.008,0.164,,1.0,16.0,-2,,,,,,,,,,,118,18,237,71,16,,,,,,,640,362,0,,,,
178539,178539,,Mk10,,,23:56:49 26-Aug-2022,,A,13.4954,144.6336,,0,0,,6188,3.568,0.992,0.144,29.60,4.0,-22.0,-3,,,,,,,,,,,,19,79,78,15413,,,,,,,36209,57085,0,,,,
