DeployID,Ptt,Instr,Id,StartMin,StartMax,EndMin,EndMax,MinDurationMinutes,MaxDurationMinutes,LocationQuality,Latitude,Longitude
234080,234080,Mk10,1,23:06:00 15-Aug-2023,23:06:00 15-Aug-2023,00:07:00 16-Aug-2023,00:07:00 16-Aug-2023,61,61,,,
234080,234080,Mk10,2,12:50:00 16-Aug-2023,12:50:00 16-Aug-2023,13:00:00 16-Aug-2023,13:00:00 16-Aug-2023,10,10,,,
234080,234080,Mk10,3,17:32:00 17-Aug-2023,17:32:00 17-Aug-2023,17:54:00 17-Aug-2023,17:54:00 17-Aug-2023,22,22,,,
234080,234080,Mk10,4,17:59:00 17-Aug-2023,17:59:00 17-Aug-2023,18:15:00 17-Aug-2023,18:15:00 17-Aug-2023,16,16,,,
234080,234080,Mk10,5,05:52:00 18-Aug-2023,05:52:00 18-Aug-2023,06:04:00 18-Aug-2023,06:04:00 18-Aug-2023,12,12,,,
234080,234080,Mk10,6,11:39:00 22-Aug-2023,11:39:00 22-Aug-2023,11:52:00 22-Aug-2023,11:52:00 22-Aug-2023,13,13,,,
234080,234080,Mk10,7,19:16:00 23-Aug-2023,19:16:00 23-Aug-2023,19:29:00 23-Aug-2023,19:29:00 23-Aug-2023,13,13,,,
234080,234080,Mk10,8,04:59:00 25-Aug-2023,04:59:00 25-Aug-2023,05:12:00 25-Aug-2023,05:12:00 25-Aug-2023,13,13,,,
234080,234080,Mk10,9,10:50:00 25-Aug-2023,10:50:00 25-Aug-2023,11:00:00 25-Aug-2023,11:00:00 25-Aug-2023,10,10,,,
234080,234080,Mk10,10,11:30:00 25-Aug-2023,11:30:00 25-Aug-2023,11:46:00 25-Aug-2023,11:46:00 25-Aug-2023,16,16,,,
234080,234080,Mk10,11,22:02:00 25-Aug-2023,22:02:00 25-Aug-2023,22:21:00 25-Aug-2023,22:21:00 25-Aug-2023,19,19,,,
234080,234080,Mk10,12,01:46:00 26-Aug-2023,01:46:00 26-Aug-2023,02:03:00 26-Aug-2023,02:03:00 26-Aug-2023,17,17,,,
234080,234080,Mk10,13,20:02:00 26-Aug-2023,20:02:00 26-Aug-2023,20:14:00 26-Aug-2023,20:14:00 26-Aug-2023,12,12,,,
234080,234080,Mk10,14,20:08:00 27-Aug-2023,20:08:00 27-Aug-2023,20:23:00 27-Aug-2023,20:23:00 27-Aug-2023,15,15,,,
234080,234080,Mk10,15,23:14:00 27-Aug-2023,23:14:00 27-Aug-2023,23:24:01 27-Aug-2023,00:54:00 28-Aug-2023,10,100,,,
234080,234080,Mk10,0,00:54:00 28-Aug-2023,00:54:00 28-Aug-2023,01:05:00 28-Aug-2023,01:05:00 28-Aug-2023,11,11,,,
234080,234080,Mk10,1,23:03:00 29-Aug-2023,23:03:00 29-Aug-2023,23:14:00 29-Aug-2023,23:14:00 29-Aug-2023,11,11,,,
234080,234080,Mk10,2,02:23:00 31-Aug-2023,02:23:00 31-Aug-2023,02:34:00 31-Aug-2023,02:34:00 31-Aug-2023,11,11,,,
234080,234080,Mk10,3,02:48:00 31-Aug-2023,02:48:00 31-Aug-2023,03:05:00 31-Aug-2023,03:05:00 31-Aug-2023,17,17,,,
234080,234080,Mk10,4,14:36:00 31-Aug-2023,14:36:00 31-Aug-2023,14:52:00 31-Aug-2023,14:52:00 31-Aug-2023,16,16,,,
